Project Name,Package Name,Type Name,Method Name,Code Smell
alovoa,com.nonononoki.alovoa,Tools,getDistanceToUser,Long Statement
alovoa,com.nonononoki.alovoa,Tools,getDistanceToUser,Magic Number
alovoa,com.nonononoki.alovoa,Tools,getBase64Size,Magic Number
alovoa,com.nonononoki.alovoa,Tools,getBase64Size,Magic Number
alovoa,com.nonononoki.alovoa,Tools,getBase64Size,Magic Number
alovoa,com.nonononoki.alovoa,Tools,calcDistanceKm,Long Statement
alovoa,com.nonononoki.alovoa,Tools,calcDistanceKm,Magic Number
alovoa,com.nonononoki.alovoa,Tools,calcDistanceKm,Magic Number
alovoa,com.nonononoki.alovoa,Tools,calcDistanceKm,Magic Number
alovoa,com.nonononoki.alovoa,Tools,calcDistanceKm,Magic Number
alovoa,com.nonononoki.alovoa,Tools,calcDistanceKm,Magic Number
alovoa,com.nonononoki.alovoa,Tools,usersCompatible,Complex Conditional
alovoa,com.nonononoki.alovoa,Tools,usersCompatible,Long Statement
alovoa,com.nonononoki.alovoa,Tools,usersCompatible,Long Statement
alovoa,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number
alovoa,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number
alovoa,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number
alovoa,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number
alovoa,com.nonononoki.alovoa,Tools,getAuthParams,Long Parameter List
alovoa,com.nonononoki.alovoa,Tools,getAuthParams,Long Statement
alovoa,com.nonononoki.alovoa,Tools,getAuthParams,Long Parameter List
alovoa,com.nonononoki.alovoa,ToolsTest,test,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,test,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number
alovoa,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number
alovoa,com.nonononoki.alovoa.component,AuthSuccessHandler,onAuthenticationSuccess,Long Statement
alovoa,com.nonononoki.alovoa.component,AuthSuccessHandler,onAuthenticationSuccess,Long Statement
alovoa,com.nonononoki.alovoa.component,CustomTokenBasedRememberMeServices,onLoginSuccess,Magic Number
alovoa,com.nonononoki.alovoa.component,CustomTokenBasedRememberMeServices,getRememberMeCookieData,Magic Number
alovoa,com.nonononoki.alovoa.component,ExceptionHandler,handleConflict,Complex Conditional
alovoa,com.nonononoki.alovoa.component,ExceptionHandler,handleConflict,Long Statement
alovoa,com.nonononoki.alovoa.config,EventListenerConfig,setDefaultUserMiscInfo,Long Statement
alovoa,com.nonononoki.alovoa.config,EventListenerConfig,removeInvalidUsers,Long Statement
alovoa,com.nonononoki.alovoa.config,SecurityConfig,filterChain,Long Statement
alovoa,com.nonononoki.alovoa.config,SecurityConfig,filterChain,Magic Number
alovoa,com.nonononoki.alovoa.config,SecurityConfig,oAuthRememberMeServices,Long Statement
alovoa,com.nonononoki.alovoa.entity,User,setPreferedMinAge,Empty catch clause
alovoa,com.nonononoki.alovoa.entity,User,setPreferedMaxAge,Empty catch clause
alovoa,com.nonononoki.alovoa.html,AdminResource,admin,Long Statement
alovoa,com.nonononoki.alovoa.html,AdminResource,viewProfileMedia,Long Statement
alovoa,com.nonononoki.alovoa.html,AdminSearchResource,search,Long Statement
alovoa,com.nonononoki.alovoa.html,AdminVerificationResource,admin,Long Statement
alovoa,com.nonononoki.alovoa.html,AdminVerificationResource,admin,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,resourceDonate,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,resourceChats,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,resourceChatsDetail,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,resourceChatsDetail,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,resourceNotification,Complex Conditional
alovoa,com.nonononoki.alovoa.html,ApiResource,resourceNotification,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,resourceNotification,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,resourceProfileView,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,resourceProfileView,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,resourceProfileView,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,blockedUsers,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,blockedUsers,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,blockedUsers,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,likedUsers,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,likedUsers,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,likedUsers,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,dislikedUsers,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,dislikedUsers,Long Statement
alovoa,com.nonononoki.alovoa.html,ApiResource,dislikedUsers,Long Statement
alovoa,com.nonononoki.alovoa.html,InfoResource,imprint,Long Statement
alovoa,com.nonononoki.alovoa.html,ProfileResource,profile,Long Statement
alovoa,com.nonononoki.alovoa.html,ProfileResource,profile,Long Statement
alovoa,com.nonononoki.alovoa.html,DeleteAccountResourceTest,before,Long Statement
alovoa,com.nonononoki.alovoa.html,PasswordResourceTest,before,Long Statement
alovoa,com.nonononoki.alovoa.html,ProfileResourceTest,before,Long Statement
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,OxCaptcha,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,setFont,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,text,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,text,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,text,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,text,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,text,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,text,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,text,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,text,Long Parameter List
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,text,Long Parameter List
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,text,Long Parameter List
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,textCentered,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,textCentered,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blur,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,gbConvolve,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,gbConvolve,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian3x3,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian3x3,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian3x3,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian3x3,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian3x3,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian3x3,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian3x3,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian3x3,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian3x3,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian3x3,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian3x3,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Long Statement
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
alovoa,com.nonononoki.alovoa.lib,OxCaptcha,blurGaussian5x5s1,Magic Number
