Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
alovoa,com.nonononoki.alovoa,AlovoaApplication,main,4,1,1
alovoa,com.nonononoki.alovoa,Tools,Tools,3,1,0
alovoa,com.nonononoki.alovoa,Tools,cleanEmail,6,2,1
alovoa,com.nonononoki.alovoa,Tools,getUserLocale,9,2,1
alovoa,com.nonononoki.alovoa,Tools,ageToDate,5,1,1
alovoa,com.nonononoki.alovoa,Tools,localDateToDate,3,1,1
alovoa,com.nonononoki.alovoa,Tools,dateToLocalDate,3,1,1
alovoa,com.nonononoki.alovoa,Tools,dateToLocalDateTime,3,1,1
alovoa,com.nonononoki.alovoa,Tools,calcUserAge,4,1,1
alovoa,com.nonononoki.alovoa,Tools,calcUserAge,4,1,1
alovoa,com.nonononoki.alovoa,Tools,inputStreamToString,3,1,1
alovoa,com.nonononoki.alovoa,Tools,getResourceText,4,1,1
alovoa,com.nonononoki.alovoa,Tools,resourceToBytes,4,1,1
alovoa,com.nonononoki.alovoa,Tools,resourceToB64,3,1,1
alovoa,com.nonononoki.alovoa,Tools,imageToB64,4,1,2
alovoa,com.nonononoki.alovoa,Tools,isTextContainingLineFromFile,10,3,2
alovoa,com.nonononoki.alovoa,Tools,binaryStringToBoolean,3,1,1
alovoa,com.nonononoki.alovoa,Tools,getDistanceToUser,8,1,2
alovoa,com.nonononoki.alovoa,Tools,getBase64Size,14,4,1
alovoa,com.nonononoki.alovoa,Tools,calcDistanceKm,7,1,4
alovoa,com.nonononoki.alovoa,Tools,usersCompatible,8,2,3
alovoa,com.nonononoki.alovoa,Tools,convertPrefAgeToRelativeYear,4,1,2
alovoa,com.nonononoki.alovoa,Tools,convertPrefAgeToExactYear,4,1,2
alovoa,com.nonononoki.alovoa,Tools,largeNumberToString,19,4,1
alovoa,com.nonononoki.alovoa,Tools,getCountryEmoji,8,2,1
alovoa,com.nonononoki.alovoa,Tools,isURLValid,10,1,1
alovoa,com.nonononoki.alovoa,Tools,getAuthParams,9,2,6
alovoa,com.nonononoki.alovoa,Tools,getProfilePictureUUID,8,2,2
alovoa,com.nonononoki.alovoa,Tools,getImageUUID,8,2,2
alovoa,com.nonononoki.alovoa,Tools,getUserUUID,8,2,2
alovoa,com.nonononoki.alovoa,Tools,getAuthParams,3,1,5
alovoa,com.nonononoki.alovoa,Tools,buildMimeTypeString,3,1,1
alovoa,com.nonononoki.alovoa,ToolsTest,test,7,1,0
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,57,1,0
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,17,1,0
alovoa,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,6,1,0
alovoa,com.nonononoki.alovoa.component,AuthFailureHandler,onAuthenticationFailure,4,1,3
alovoa,com.nonononoki.alovoa.component,AuthFilter,attemptAuthentication,10,1,2
alovoa,com.nonononoki.alovoa.component,AuthProvider,authenticate,11,1,1
alovoa,com.nonononoki.alovoa.component,AuthProvider,validateCaptcha,10,3,2
