Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
alovoa,com.nonononoki.alovoa,AlovoaApplication,0,0,1,1,6,1,0,0,-1.0,1,1
alovoa,com.nonononoki.alovoa,Tools,21,17,31,30,215,47,0,0,0.6451612903225806,29,6
alovoa,com.nonononoki.alovoa,ToolsTest,0,0,4,0,89,4,0,0,-1.0,0,6
alovoa,com.nonononoki.alovoa.component,AuthFailureHandler,1,0,1,1,7,1,0,0,0.0,0,0
alovoa,com.nonononoki.alovoa.component,AuthFilter,5,1,1,1,17,1,0,0,0.0,1,1
alovoa,com.nonononoki.alovoa.component,AuthProvider,4,0,5,2,55,12,0,0,0.4,0,7
alovoa,com.nonononoki.alovoa.component,AuthSuccessHandler,5,0,2,2,35,4,0,0,0.0,0,5
alovoa,com.nonononoki.alovoa.component,CustomTokenBasedRememberMeServices,1,1,8,5,62,12,0,0,0.5,0,0
alovoa,com.nonononoki.alovoa.component,CustomUserDetailsService,1,0,1,1,10,2,0,0,0.0,0,2
alovoa,com.nonononoki.alovoa.component,ExceptionHandler,4,2,1,0,17,3,0,0,0.0,6,0
alovoa,com.nonononoki.alovoa.component,TextEncryptorConverter,8,0,8,4,64,12,0,0,0.0,19,0
alovoa,com.nonononoki.alovoa.config,EventListenerConfig,14,0,6,5,98,12,0,0,0.0,0,16
alovoa,com.nonononoki.alovoa.config,JsonConfig,0,0,1,1,7,1,0,0,-1.0,0,0
alovoa,com.nonononoki.alovoa.config,SecurityConfig,10,4,15,5,83,16,0,0,0.3333333333333333,5,0
alovoa,com.nonononoki.alovoa.config,WebMvcConfig,0,0,5,3,22,5,0,0,-1.0,0,0
alovoa,com.nonononoki.alovoa.entity,Captcha,5,0,0,0,7,0,0,0,-1.0,7,0
alovoa,com.nonononoki.alovoa.entity,Contact,5,0,0,0,7,0,0,0,-1.0,4,0
alovoa,com.nonononoki.alovoa.entity,User,54,2,17,15,134,18,0,0,0.47058823529411764,76,2
alovoa,com.nonononoki.alovoa.entity.user,Conversation,7,0,3,3,22,3,0,0,0.0,6,3
alovoa,com.nonononoki.alovoa.entity.user,ConversationCheckedDate,4,0,0,0,6,0,0,0,-1.0,1,1
alovoa,com.nonononoki.alovoa.entity.user,Gender,7,3,0,0,9,0,0,0,-1.0,2,0
alovoa,com.nonononoki.alovoa.entity.user,Message,7,0,0,0,9,0,0,0,-1.0,2,2
alovoa,com.nonononoki.alovoa.entity.user,UserAudio,5,0,0,0,7,0,0,0,-1.0,1,1
alovoa,com.nonononoki.alovoa.entity.user,UserBlock,4,0,0,0,6,0,0,0,-1.0,1,1
alovoa,com.nonononoki.alovoa.entity.user,UserDates,11,0,0,0,13,0,0,0,-1.0,2,1
alovoa,com.nonononoki.alovoa.entity.user,UserDeleteToken,4,0,0,0,6,0,0,0,-1.0,3,1
alovoa,com.nonononoki.alovoa.entity.user,UserDonation,4,0,0,0,6,0,0,0,-1.0,3,1
alovoa,com.nonononoki.alovoa.entity.user,UserHide,4,0,0,0,6,0,0,0,-1.0,1,1
alovoa,com.nonononoki.alovoa.entity.user,UserImage,7,0,0,0,9,0,0,0,-1.0,2,1
alovoa,com.nonononoki.alovoa.entity.user,UserIntention,6,3,0,0,8,0,0,0,-1.0,3,0
alovoa,com.nonononoki.alovoa.entity.user,UserInterest,3,0,2,2,18,4,0,0,0.0,1,2
alovoa,com.nonononoki.alovoa.entity.user,UserLike,4,0,0,0,6,0,0,0,-1.0,1,1
alovoa,com.nonononoki.alovoa.entity.user,UserMiscInfo,13,10,0,0,15,0,0,0,-1.0,1,0
alovoa,com.nonononoki.alovoa.entity.user,UserNotification,7,1,0,0,9,0,0,0,-1.0,1,1
alovoa,com.nonononoki.alovoa.entity.user,UserPasswordToken,4,0,0,0,6,0,0,0,-1.0,3,1
alovoa,com.nonononoki.alovoa.entity.user,UserProfilePicture,6,0,1,1,11,1,0,0,0.0,4,2
alovoa,com.nonononoki.alovoa.entity.user,UserPrompt,4,0,2,2,18,4,0,0,0.0,1,1
alovoa,com.nonononoki.alovoa.entity.user,UserRegisterToken,4,0,0,0,6,0,0,0,-1.0,2,1
alovoa,com.nonononoki.alovoa.entity.user,UserReport,6,0,0,0,8,0,0,0,-1.0,2,1
alovoa,com.nonononoki.alovoa.entity.user,UserSettings,4,0,1,1,9,1,0,0,0.0,2,1
alovoa,com.nonononoki.alovoa.entity.user,UserVerificationPicture,9,0,1,1,14,1,0,0,0.0,3,2
alovoa,com.nonononoki.alovoa.html,AdminResource,7,1,2,2,31,3,0,0,0.0,2,9
alovoa,com.nonononoki.alovoa.html,AdminSearchResource,6,1,1,1,18,2,0,0,0.0,1,5
alovoa,com.nonononoki.alovoa.html,AdminVerificationResource,5,1,1,1,21,3,0,0,0.0,0,7
alovoa,com.nonononoki.alovoa.html,ApiResource,14,0,11,11,159,23,0,0,0.2727272727272727,0,11
alovoa,com.nonononoki.alovoa.html,DeleteAccountResource,2,0,2,2,12,2,0,0,1.0,1,1
alovoa,com.nonononoki.alovoa.html,DonateListResource,0,0,1,1,6,1,0,0,-1.0,0,0
alovoa,com.nonononoki.alovoa.html,ErrorResource,0,0,1,1,5,1,0,0,-1.0,0,0
alovoa,com.nonononoki.alovoa.html,FaqResource,0,0,1,1,6,1,0,0,-1.0,1,0
