Project Name,Package Name,Type Name,Code Smell
alovoa,com.nonononoki.alovoa,Tools,Deficient Encapsulation
alovoa,com.nonononoki.alovoa,Tools,Cyclic-Dependent Modularization
alovoa,com.nonononoki.alovoa,Tools,Insufficient Modularization
alovoa,com.nonononoki.alovoa,ToolsTest,Unutilized Abstraction
alovoa,com.nonononoki.alovoa.component,AuthFailureHandler,Unutilized Abstraction
alovoa,com.nonononoki.alovoa.component,AuthFilter,Deficient Encapsulation
alovoa,com.nonononoki.alovoa.component,AuthProvider,Unutilized Abstraction
alovoa,com.nonononoki.alovoa.component,AuthSuccessHandler,Unutilized Abstraction
alovoa,com.nonononoki.alovoa.component,CustomTokenBasedRememberMeServices,Unutilized Abstraction
alovoa,com.nonononoki.alovoa.component,CustomTokenBasedRememberMeServices,Deficient Encapsulation
alovoa,com.nonononoki.alovoa.component,CustomUserDetailsService,Unutilized Abstraction
alovoa,com.nonononoki.alovoa.component,ExceptionHandler,Deficient Encapsulation
alovoa,com.nonononoki.alovoa.config,EventListenerConfig,Unutilized Abstraction
alovoa,com.nonononoki.alovoa.config,JsonConfig,Unutilized Abstraction
alovoa,com.nonononoki.alovoa.config,SecurityConfig,Deficient Encapsulation
alovoa,com.nonononoki.alovoa.config,WebMvcConfig,Unutilized Abstraction
alovoa,com.nonononoki.alovoa.entity,Captcha,Unnecessary Abstraction
alovoa,com.nonononoki.alovoa.entity,Captcha,Broken Modularization
alovoa,com.nonononoki.alovoa.entity,Contact,Unnecessary Abstraction
alovoa,com.nonononoki.alovoa.entity,Contact,Broken Modularization
alovoa,com.nonononoki.alovoa.entity,User,Deficient Encapsulation
alovoa,com.nonononoki.alovoa.entity,User,Cyclic-Dependent Modularization
alovoa,com.nonononoki.alovoa.entity.user,ConversationCheckedDate,Unnecessary Abstraction
alovoa,com.nonononoki.alovoa.entity.user,Gender,Deficient Encapsulation
alovoa,com.nonononoki.alovoa.entity.user,Gender,Broken Modularization
alovoa,com.nonononoki.alovoa.entity.user,Message,Broken Modularization
alovoa,com.nonononoki.alovoa.entity.user,UserAudio,Unnecessary Abstraction
alovoa,com.nonononoki.alovoa.entity.user,UserAudio,Broken Modularization
alovoa,com.nonononoki.alovoa.entity.user,UserAudio,Cyclic-Dependent Modularization
alovoa,com.nonononoki.alovoa.entity.user,UserBlock,Unnecessary Abstraction
alovoa,com.nonononoki.alovoa.entity.user,UserDates,Broken Modularization
alovoa,com.nonononoki.alovoa.entity.user,UserDeleteToken,Unnecessary Abstraction
alovoa,com.nonononoki.alovoa.entity.user,UserDonation,Unnecessary Abstraction
alovoa,com.nonononoki.alovoa.entity.user,UserHide,Unnecessary Abstraction
alovoa,com.nonononoki.alovoa.entity.user,UserImage,Broken Modularization
alovoa,com.nonononoki.alovoa.entity.user,UserImage,Cyclic-Dependent Modularization
alovoa,com.nonononoki.alovoa.entity.user,UserIntention,Deficient Encapsulation
alovoa,com.nonononoki.alovoa.entity.user,UserIntention,Broken Modularization
alovoa,com.nonononoki.alovoa.entity.user,UserLike,Unnecessary Abstraction
alovoa,com.nonononoki.alovoa.entity.user,UserMiscInfo,Deficient Encapsulation
